census_tract,ces_30_score,ozone,pm25,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,poverty,unemployment,housing_burden,hispanic,white,african_american,native_american,asian_american,other,pct_nonwhite
6071004601,41.376614365053,0.067828605,12.47,24.12763613,493.979039437272,0.0,2334.307813,967.56,33.0,0.0,0.3,0,0.0,6.55197754989994,78.01,5.34,10.29,15.1,40.9,8.5,16.5,48.0,27.2,17.6,0.5,4.1,2.7,72.89999999999999
6077001400,41.3738761716511,0.046178296,13.44,18.09755625,278.756234647944,0.0,422.4543425,862.74,11.25,51.25,2.16,6,0.0,6.55905516310722,56.62,5.36,7.71,25.0,51.6,11.2,16.2,33.6,40.4,3.6,0.6,18.6,3.2,59.60000000000001
6013309000,41.3707661025206,0.037784754,7.85958451,13.90300646,136.891945301319,0.0,1816.926427,301.26,93.0,79.8,15.485,19,13.0,5.99318647495291,150.18,5.3,14.45,6.8,26.1,14.1,26.0,29.2,24.7,33.0,0.3,8.5,4.3,75.3
6081602100,41.3659093456355,0.029592333,8.69794377,34.5,450.714197925502,0.0,136.7538893,1451.71,17.95,59.7,0.385,10,0.0,6.077572759861,64.62,5.06,8.23,37.2,40.9,9.7,22.9,72.4,9.0,1.9,0.4,14.1,2.1,90.9
6085501501,41.3606501432565,0.037784754,10.37,33.66,479.227885783645,0.0,238.6018334,2571.95,3.5,28.75,0.2,2,1.9,6.13381780019221,56.07,3.7,8.54,42.6,52.9,12.8,25.0,66.7,5.1,1.6,0.1,25.2,1.3,94.89999999999999
6071000821,41.357884310911,0.062162956,12.47,23.026401,614.278492699138,0.0,4797.102023,591.11,4.2,1.5,0.185,1,1.5,6.36653189252261,79.22,3.72,11.75,12.6,56.0,8.3,21.6,40.0,31.9,14.3,0.2,10.9,2.7,68.10000000000001
6037120105,41.3546333748664,0.057293727,11.21,18.42874484,618.051446782596,0.0,682.4931665,937.56,0.45,0.0,0.0,0,0.0,4.68353162798986,95.94,5.38,10.65,36.5,73.3,17.8,34.5,72.7,10.0,1.8,0.1,14.4,1.1,90.1
6073002502,41.3542600533752,0.04012721,11.21,27.2185056,228.067595137786,0.0,253.4799473,2143.26,9.3,11.0,0.225,0,6.2,5.9327247735473,80.83,4.97,9.97,16.4,48.2,11.1,24.0,50.5,23.2,11.4,0.5,11.7,2.7,76.8
6071004401,41.35206170602,0.064888548,12.89,13.58250479,727.938850523831,0.0,1534.051182,500.68,0.0,0.0,0.1,0,0.0,5.1888456419495,65.36,6.92,11.01,29.2,59.4,18.3,15.8,74.9,14.1,7.0,0.1,2.7,1.3,86.0
6059087401,41.3512083046415,0.046178296,11.21,19.25963193,291.125378738392,0.0,14566.38595,2775.93,40.75,0.0,0.225,0,14.5,6.79511704745197,53.92,6.42,7.98,22.7,22.7,14.9,16.0,64.7,19.3,1.6,0.1,13.1,1.2,80.69999999999999
6001401600,41.3505193984591,0.029592333,8.69794377,73.41736339,70.5995828962491,0.0,350.0142988,385.52,95.8,159.85,0.4,10,5.5,5.96561377714551,147.98,8.09,5.79,12.8,48.2,8.4,41.1,20.8,16.2,46.5,0.7,12.0,3.9,83.9
6067009006,41.3376246298753,0.051242641,9.53630303,16.51030267,656.202030040331,0.0,69.50986058,1681.52,21.75,45.8,1.5,3,2.5,7.00209867826323,48.37,4.64,8.74,17.1,52.0,13.7,16.4,20.9,50.5,12.1,0.6,10.5,5.5,49.6
6099000404,41.3245088116815,0.053108966,12.89,12.74517795,1066.24593672209,1593.011758,1397.508239,837.07,10.75,13.75,0.11,0,0.0,7.46104926273663,42.17,4.43,7.81,13.4,40.1,11.5,26.6,24.0,57.4,3.8,0.4,10.3,4.2,42.7
6067005102,41.3045043210312,0.049512456,9.53630303,24.74,656.874857071586,689.1529055,79.56621845,595.39,3.2,4.5,0.2,4,0.0,6.17040614311985,91.61,3.57,12.18,20.6,56.6,22.6,14.8,26.0,37.8,10.1,0.8,21.1,4.2,62.2
6071010802,41.2742119438447,0.067828605,10.37,4.478637485,916.685164371683,0.002530556,638.3684858,901.7,2.0,0.0,0.0,2,6.5,5.61667872605094,109.42,8.58,13.75,8.2,38.3,14.4,19.3,17.9,73.7,2.0,0.8,1.6,4.0,26.3
6029004701,41.2700679449855,0.062162956,18.76,4.780987625,483.947059859238,241.726227,279.979184,663.59,0.0,0.0,0.0,0,2.0,5.40539825633004,58.59,4.12,10.99,52.7,79.8,17.8,20.3,89.1,7.6,1.8,0.1,0.6,0.7,92.29999999999998
6077005132,41.2586766764415,0.051242641,12.89,17.96,780.518734491694,0.0,1172.047467,562.24,24.7,6.65,0.0,0,0.6,5.94808723083419,81.0,3.99,12.98,27.5,59.2,18.1,18.3,49.3,42.4,2.7,1.0,2.1,2.5,57.6
6077003305,41.25369305422,0.046178296,13.44,11.69557514,516.60789150447,0.01193038,429.8670351,599.95,0.5,26.5,0.5,5,0.0,5.72316984197887,88.07,8.42,10.04,8.0,43.1,17.8,14.5,34.8,44.3,6.5,0.5,10.0,3.9,55.699999999999996
6071001707,41.2527799429325,0.062162956,12.89,29.59,840.141361836783,0.513801914,5712.293404,546.08,0.1,1.0,0.1,0,0.0,6.43848632750794,69.05,4.15,12.77,36.9,38.2,11.0,10.1,70.5,14.3,4.7,0.3,8.6,1.6,85.69999999999999
6065042518,41.2447661013829,0.064888548,12.89,13.5,747.774449527344,0.0,559.8298416,725.11,0.0,0.0,0.0,0,0.0,4.96595431054862,75.3,7.33,11.27,31.1,46.7,22.3,24.9,54.3,15.7,21.8,0.3,5.8,2.0,84.19999999999999
6037554600,41.2269811695204,0.044311971,11.63,28.49712337,400.801845205905,1597.443588,5568.319732,635.76,0.1,9.0,0.31,0,1.0,6.55335923443831,34.75,6.18,7.65,30.4,43.6,8.7,21.7,43.0,17.4,4.4,0.2,33.6,1.3,82.5
6059099904,41.2229579371563,0.044311971,11.21,19.34,445.393048448767,3.868543369,16564.8187,1518.52,5.25,12.75,0.085,0,0.2,6.3635062496834,38.28,4.82,8.73,28.9,55.5,8.1,32.3,37.0,15.6,0.6,0.1,44.3,2.3,84.3
6073003404,41.1998195635118,0.04012721,11.21,31.56,228.067595137786,0.0,263.6978739,2356.81,12.0,31.0,0.025,0,1.45,5.63046724613076,84.84,4.58,7.23,42.1,66.3,14.1,27.8,62.2,2.8,16.6,0.1,16.5,1.8,97.2
6029003115,41.1859568796544,0.064888548,19.18,31.4877589,593.774143138549,0.0,58.20546647,1129.6,0.4,1.0,0.035,0,1.25,5.73922140383088,62.82,6.17,6.28,36.1,58.9,15.3,24.9,65.2,18.6,9.9,0.4,3.6,2.4,81.50000000000001
