STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,FED_PER_STUDENT,STATE_PER_STUDENT,TOTAL_PER_STUDENT,PCT_IN_POVERTY,PCT_WITH_BA
PA,2007,1760451.0,25334577.0,1821479.0,8593421.0,244.001273492789,286.16686332577,226.353658210298,263.54571646767005,1034.6661168075682,4881.374715910866,14390.958339652736,10.4,33.3649377
RI,2007,147861.0,2100679.0,165167.0,817792.0,235.87793575221198,275.386990471622,218.761444851879,259.13670308841097,1117.0423573491319,5530.816104314187,14207.120200729065,9.5,36.10545570000001
SC,2007,701580.0,7130274.0,680718.0,3120416.0,237.10741145424402,281.50360148092096,213.836527211386,268.017670542433,970.2642606687764,4447.698052966162,10163.165996750191,14.1,29.574572399999997
SD,2007,121158.0,1136570.0,174096.0,371645.0,241.213428581694,288.463925271604,223.39852668799702,267.978979400559,1436.9335908483135,3067.440862345037,9380.891067861801,9.4,31.3758745
TN,2007,978084.0,7617488.0,805633.0,3342186.0,232.753710108317,273.978786623685,215.749268590355,259.547225161046,823.6848777814585,3417.074607088962,7788.173612900324,14.8,28.2752227
TX,2007,4513835.0,44355326.0,4423644.0,15952564.0,242.339759859575,285.870708420456,219.60431305031602,265.710210180337,980.0189860728185,3534.148678451915,9826.527996703471,16.5,27.003221999999997
UT,2007,504079.0,3656090.0,343915.0,1977900.0,239.40498890696202,281.08747370552504,221.26142812873903,267.665630227785,682.2640895573908,3923.789723436208,7253.009944869754,9.6,28.1069425
VT,2007,89329.0,1836316.0,97086.0,1237083.0,246.35740495721402,291.010773791979,228.248538219188,258.321117711185,1086.8363017609063,13848.615791064492,20556.77327631564,9.9,39.144715399999995
VA,2007,1220440.0,14176385.0,890144.0,5796043.0,243.52112978321603,287.62590496388196,227.13672485221198,257.42120279297296,729.3631804922815,4749.142112680674,11615.798400576841,8.6,37.6511404
WA,2007,1026121.0,10350748.0,801339.0,6339782.0,242.54223198471402,284.862804344983,223.999336825378,269.596763416027,780.9400645732812,6178.396115078046,10087.2587151028,10.2,32.3613143
WV,2007,281298.0,2905489.0,353571.0,1677212.0,236.33780580016705,270.084093587271,215.13055545931093,259.161954905287,1256.9268178230914,5962.40286102283,10328.864762636065,14.8,18.1217082
WI,2007,870584.0,10154985.0,574090.0,5175386.0,244.181214196835,285.617942521924,223.31800981087602,260.812919224922,659.4309107449711,5944.729055438647,11664.566543837242,11.0,30.1728222
WY,2007,85034.0,1477891.0,111051.0,722364.0,243.86691506428397,286.987771483089,225.289483281059,262.22802467896196,1305.959968953595,8495.00199920032,17380.00094080015,10.9,19.561272600000002
